Seed Lot ID,Scientific name,Label name (as written),Common name EN,Common name DE,Common name PT,Family,Status,Germination priority,Viability status,Estimated seed count,Count accuracy,Seeds sown,Seeds remaining,Collection / acquisition date,Seed lot origin,Source type,Storage method,Storage temperature,Estimated sow-by date,Pretreatment needed,Germination instructions,Adult plant image source,Species notes,Label transcription,Confidence,Research / source notes,Wikipedia title,Wikipedia
SBC-SEED-0001,Swietenia mahagoni,Swietenia mahagony,West Indian mahogany / Cuban mahogany / small-leaved mahogany,Westindischer Mahagoni,mogno-das-índias-ocidentais / mogno-cubano,Meliaceae,Stored,★★★★★ Urgent,Fresh / good; test or sow a small batch soon,~35–45 seeds if this was one whole mature capsule; visually: dozens,"Biology-based estimate + visual inspection, not counted",0,~35–45,May 2026 (label: 05.26; exact day unknown),Sint Maarten,Travel collection; exact parent plant context not yet recorded,Currently in sealed glass jar. Keep fully dry; move to labelled paper envelope or dry jar with desiccant if any moisture remains.,"Cool, dry, stable room temperature; avoid heat, condensation and direct sun.",Best test batch by late 2026; do not assume long-term viability without a germination test.,Likely none; remove from wing if practical; soak 12–24h in clean warm water before sowing as a cautious test protocol.,"Sow shallowly in warm, free-draining sterile medium; keep around 24–28°C, evenly moist but not wet; test 5–10 seeds first because there are enough for a batch trial.","Use app fallback: Wikimedia/Wikidata/Wikipedia/Commons adult tree or foliage image, not seed-packet photo.","Tropical/subtropical mahogany tree; not hardy in Heiligenhaus; greenhouse/large container only, mainly interesting as a provenance/story seed lot.",“Swietenia mahagony - S Maarten 05.26” (read as Sint Maarten; species spelling corrected to Swietenia mahagoni).,Medium-high for ID from label; seed count approximate.,Fruit/capsule of Swietenia contains numerous winged seeds; German Wikipedia states 35–45 seeds per mature capsule. English Wikipedia gives native Caribbean distribution and IUCN NT; legal/public note should remain conservative.,Swietenia mahagoni,https://en.wikipedia.org/wiki/Swietenia_mahagoni
SBC-SEED-0002,Styphnolobium japonicum,Styphnolobium japonicum - Pagoda Tree,Japanese pagoda tree / Chinese scholar tree / pagoda tree,Japanischer Schnurbaum / Pagodenbaum,sófora-do-japão / árvore-das-pagodes,Fabaceae,Stored,★★ Low,"Fresh / likely good; hard-coated legume seed, test batch when convenient",~20,Approximate user estimate,0,~20,12/06/2026,"Kew Gardens, London",Botanical garden collection; from labelled historic tree,Sealed plastic packet with tissue and silica gel. Keep dry and labelled; avoid condensation.,"Cool, dry, stable room temperature.",Not urgent; test batch in 2026–2027 to establish viability.,"Scarification recommended; nick/sand seed coat lightly, then soak in warm water 12–24h before sowing.","After scarification/soak, sow in free-draining sterile medium at warm room temperature; keep lightly moist, not wet. Since there are about 20 seeds, start with a test batch of 5–6.","Use app fallback: Wikimedia/Wikidata/Wikipedia/Commons adult tree/flower/fruit image, not packet photo.",Deciduous ornamental tree; native to China despite the “japonicum” name; formerly treated as Sophora japonica.,“Styphnolobium japonicum - Pagoda Tree / 12/06/2026 / 1760 tree from the Kew Gardens in London.”,High for ID from label; seed count approximate.,Styphnolobium japonicum is the accepted spelling; synonym Sophora japonica. Species is native to China and widely grown as ornamental.,Styphnolobium japonicum,https://en.wikipedia.org/wiki/Styphnolobium_japonicum
SBC-SEED-0003,Caesalpinia pulcherrima,Caesalpinia pulcherrima - Peacock flower yellow,Peacock flower / dwarf poinciana / pride of Barbados,Pfauenstrauch / Barbados-Stolz,flor-de-pavão / flamboyant-de-jardim,Fabaceae,Stored,★★ Low,"Fresh / likely good; hard-coated legume seed, should store reasonably if kept dry",~80,Approximate user estimate; visual count agrees with “many”/large batch,0,~80,23/05/2026,"Le Marin, Martinique",Travel collection; parent plant likely ornamental/cultivated yellow form,Sealed plastic packet with tissue and silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Low urgency but worth testing in 2026–2027; retain dry backup seed.,"Scarification recommended; nick/sand seed coat lightly, then soak 12–24h in warm water before sowing.","Because there are around 80 seeds, run a proper test batch of 10–15 seeds. Sow after scarification/soak in warm, free-draining medium at 24–28°C; keep moist but not wet.","Use app fallback or curated Wikimedia/Wikidata image of adult yellow peacock flower, not packet photo.","Tropical/subtropical ornamental shrub, sensitive to cold; not hardy in Heiligenhaus except perhaps as seasonal container plant. Seeds of Caesalpinia are potentially toxic; do not ingest.","“Caesalpinia pulcherrima - Peacock flower yellow / Le Marin, Martinique / 23/05/2026.”",High for ID from label; seed count approximate but plausible.,"Caesalpinia pulcherrima is a Fabaceae shrub native to tropical/subtropical Americas; common names include peacock flower, dwarf poinciana and pride of Barbados; IUCN status LC in common summaries. Seeds should be treated cautiously as potentially toxic.",Caesalpinia pulcherrima,https://en.wikipedia.org/wiki/Caesalpinia_pulcherrima
SBC-SEED-0004,Gossypium hirsutum,Gossypium hirsutum - Cotton,Upland cotton / Mexican cotton / cotton,Baumwolle / Upland-Baumwolle,algodão / algodoeiro,Malvaceae,Stored,★★ Low,Fresh / likely good if kept dry; test batch when convenient,~30,Approximate user estimate,0,~30,04/2026,Guadeloupe,Travel collection; parent plant context not yet recorded,Sealed plastic packet with tissue and silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Test batch in 2026–2027; keep backup dry.,Usually none; optional short soak in warm water before sowing if seeds are very dry.,"Sow in warm, free-draining medium at around 24–30°C; keep evenly moist but not wet. With ~30 seeds, test 6–8 first.","Use app fallback or curated Wikimedia/Wikidata image of cotton plant/flower/boll, not packet photo.",Warm-climate cotton species in Malvaceae; not hardy in Heiligenhaus; greenhouse/container curiosity rather than outdoor garden plant.,“Gossypium hirsutum - cotton / Guadeloupe - 04/2026.”,High for ID from label; count approximate.,"Gossypium hirsutum is upland/Mexican cotton, family Malvaceae, with native range including Mexico to Ecuador/northeast Brazil and Caribbean islands including the Leeward Antilles; widely cultivated cotton crop.",Gossypium hirsutum,https://en.wikipedia.org/wiki/Gossypium_hirsutum
SBC-SEED-0005,Calliandra haematocephala,Calliandra haematocephala - Powder puff tree,Red powder puff / powder puff tree,Puderquastenstrauch / Puderquastenbaum,esponjinha-vermelha / caliandra,Fabaceae,Stored,★★★ Medium,"Fresh / likely good if kept dry; hard-coated legume-style seed, test batch when convenient",Unknown,Unknown; packet contents not visible/countable from photo,0,Unknown,04/2026,Guadeloupe,Travel collection; parent plant likely ornamental/cultivated,Sealed plastic packet with tissue and silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Test batch in 2026–2027; keep dry backup seed.,"Scarification likely helpful; nick/sand seed coat lightly, then soak 12–24h in warm water before sowing.","Once seed count is known, test a small batch. Sow after scarification/soak in warm, free-draining medium at 24–28°C; keep moist but not wet.","Use app fallback or curated Wikimedia/Wikidata image of adult powder puff tree/flowers, not packet photo.",Tropical ornamental shrub/small tree with red powder-puff flowers; native to Bolivia and widely cultivated in warm climates; not hardy in Heiligenhaus.,“Calliandra haematocephala - Powder puff tree / 04/2026 - Guadeloupe.”,High for ID from label; seed count unknown.,"Calliandra haematocephala is a Fabaceae shrub/small tree native to Bolivia and widely cultivated as an ornamental. As a legume-type seed lot, scarification/soak is a reasonable germination protocol; confirm with a small test batch.",Calliandra haematocephala,https://en.wikipedia.org/wiki/Calliandra_haematocephala
SBC-SEED-0006,Thespesia populnea,Seaside mahoe,Seaside mahoe / portia tree / milo,Portiabaum / Küsten-Mahoe,algodão-da-praia / thespesia,Malvaceae,Stored,★★★ Medium,"Fresh / likely good if kept dry; coastal tree seed, test batch when convenient",~30,Approximate user estimate,0,~30,03/2026,Saba,Travel collection; likely coastal/tree seed lot,Sealed plastic packet with silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Test batch in 2026–2027; keep backup dry.,Possibly helpful: soak 12–24h in warm water; light scarification only if seeds do not imbibe.,"With ~30 seeds, test 6–8 first. Sow warm in free-draining medium at 24–28°C; keep evenly moist but not waterlogged.","Use app fallback or curated Wikimedia/Wikidata image of adult seaside mahoe/Portia tree, not packet photo.","Coastal tropical tree in Malvaceae, adapted to island/coastal environments and oceanic dispersal; not hardy in Heiligenhaus.",“Seaside mahoe / Saba 03/26.” Scientific name inferred as Thespesia populnea from common name.,Medium-high: scientific name inferred from common name “seaside mahoe”; confirm if there is any parent-tree photo or local label.,"Thespesia populnea is commonly known as portia tree/seaside mahoe/milo, family Malvaceae, and is associated with tropical coastlines/island environments.",Thespesia populnea,https://en.wikipedia.org/wiki/Thespesia_populnea
SBC-SEED-0007,Vachellia tortuosa,Twisted acacia,Twisted acacia / poponax,Gedrehte Akazie / Vachellia tortuosa,acácia-tortuosa,Fabaceae,Stored,★ Archive / no rush,"Fresh / likely good if kept dry; hard-coated acacia seed, can wait but should be tested",~24–30,Approximate user estimate: a couple of dozen,0,~24–30,2026,"Waterlemon Bay, USVI; possibly mixed/compared with Saba lot",Travel collection; dry coastal/xeric habitat seed lot,Sealed plastic packet with silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Not urgent; test batch in 2026–2027; dry hard-coated seeds should store better than soft tropical seeds.,"Scarification strongly recommended; nick/sand seed coat, then soak 12–24h in warm water before sowing.","Test 6–8 seeds first. After scarification/soak, sow in warm, sharply-draining mineral mix at 24–30°C; keep barely moist, not wet.","Use app fallback or curated Wikimedia/Wikidata image of adult twisted acacia, not packet photo.","Small thorny leguminous shrub/tree of the Caribbean, Florida, Mexico and northern South America; adapted to dry tropical/xeric habitats. Good bonsai/inosculation curiosity but thorny.",“Twisted acacia / Waterlemon Bay USVI 2026 / + Saba.” Scientific name inferred as Vachellia tortuosa from common name.,"Medium: common name strongly suggests Vachellia tortuosa, but the packet mixes/mentions two locations; confirm if parent-tree photos exist.","Vachellia tortuosa is listed with common name twisted acacia/poponax and distribution in the Caribbean, Florida, southern Texas, Mexico and northern South America.",Vachellia tortuosa,https://en.wikipedia.org/wiki/Vachellia_tortuosa
SBC-SEED-0008,Delonix regia,Flamboyant,Flamboyant / royal poinciana / flame tree,Flammenbaum / Flamboyant,flamboyant / acácia-rubra,Fabaceae,Stored,★★ Low,"Fresh / likely good if kept dry; hard-coated seed, should respond to scarification",~40–50,Approximate user estimate,0,~40–50,05/2026,St Eustatius (Statia),Travel collection; likely ornamental/cultivated street or garden tree,Sealed plastic packet with silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.","Low urgency if kept dry, but test batch in 2026–2027 to confirm viability.","Scarification strongly recommended; nick/sand the hard seed coat, then soak 12–24h in warm water before sowing.","Test 8–10 seeds first. After scarification/soak, sow in warm free-draining medium at 24–30°C; keep moist but not waterlogged. Seedlings can grow quickly under warm bright conditions.","Use app fallback or curated Wikimedia/Wikidata image of adult flamboyant tree in flower, not packet photo.",Tropical ornamental tree with spectacular red/orange flowers; native to Madagascar but widely cultivated throughout the tropics. Not hardy in Heiligenhaus; greenhouse/container/bonsai experiment only.,"“Flamboyant / Statia 2026.” User supplied: St Eustatius, May 2026, ~40–50 seeds.",High for ID from label; seed count approximate.,"Delonix regia is the flamboyant/royal poinciana, a Fabaceae tree native to Madagascar and widely cultivated in tropical regions. Hard seed coat; nicking/scarification or soaking is commonly used to speed germination.",Delonix regia,https://en.wikipedia.org/wiki/Delonix_regia
SBC-SEED-0009,Caesalpinia pulcherrima,Peacock (yellow),Yellow peacock flower / peacock flower / dwarf poinciana,Gelber Pfauenstrauch / Barbados-Stolz,flor-de-pavão-amarela / flamboyant-de-jardim,Fabaceae,Stored,★★ Low,"Fresh / likely good; hard-coated legume seed, should store reasonably if kept dry",16,Exact user count,0,16,04/2026,Montserrat,Travel collection; parent plant likely ornamental/cultivated yellow form,Sealed plastic packet with silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Low urgency but worth testing in 2026–2027; retain dry backup seed.,"Scarification recommended; nick/sand seed coat lightly, then soak 12–24h in warm water before sowing.","With only 16 seeds, test 4–5 first rather than the whole lot. Sow after scarification/soak in warm, free-draining medium at 24–28°C; keep moist but not wet.","Use app fallback or curated Wikimedia/Wikidata image of adult yellow peacock flower, not packet photo.","Tropical/subtropical ornamental shrub, sensitive to cold; not hardy in Heiligenhaus except perhaps as seasonal container plant. Seeds of Caesalpinia are potentially toxic; do not ingest.",“Peacock (yellow) / Montserrat / 04/2026.” Scientific name inferred as Caesalpinia pulcherrima from earlier labelled yellow peacock flower lots.,"Medium-high: common name and seed appearance match previous Caesalpinia pulcherrima yellow lot, but scientific name not written on this packet.",Companion yellow peacock flower lot; treat as Caesalpinia pulcherrima unless later evidence suggests a different “peacock” species.,Caesalpinia pulcherrima,https://en.wikipedia.org/wiki/Caesalpinia_pulcherrima
SBC-SEED-0010,Samanea saman,Samanea saman - Rain tree,Rain tree / saman / monkeypod,Regenbaum / Samanbaum,árvore-da-chuva / samã,Fabaceae,Stored,★★ Low,"Fresh / likely good if kept dry; hard-coated legume seed, should be testable later",Many / unknown; not countable from photo,Unknown; seeds hidden by tissue/packet,0,Unknown,04/2026,Montserrat,Travel collection; likely ornamental/cultivated tree,Sealed plastic packet with tissue and silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Not urgent if kept dry; test batch in 2026–2027.,"Scarification recommended; nick/sand seed coat lightly, then soak 12–24h in warm water before sowing.","Once count is known, test 8–10 seeds first. Sow after scarification/soak in warm, free-draining medium at 24–30°C; keep moist but not waterlogged.","Use app fallback or curated Wikimedia/Wikidata image of adult rain tree/monkeypod, not packet photo.",Large tropical shade tree with broad umbrella crown; native to Central/South America and widely introduced across the tropics. Not hardy in Heiligenhaus; greenhouse/container experiment only when young.,“Samanea saman - Rain tree / Montserrat / 04/2026.”,High for ID from label; seed count unknown.,"Samanea saman is a Fabaceae tree known as rain tree/saman/monkeypod, native to Central and South America and widely introduced in tropical regions.",Samanea saman,https://en.wikipedia.org/wiki/Samanea_saman
